date,close
2020-09-01,18.8093
2020-09-02,20.4967
2020-09-03,16.9987
2020-09-04,16.5273
2020-09-08,14.174
2020-09-09,15.346
2020-09-10,14.7087
2020-09-11,14.6573
2020-09-14,15.584
2020-09-15,16.3853
2020-09-16,15.892
2020-09-17,15.8193
2020-09-18,15.082
2020-09-21,15.0093
2020-09-22,15.5533
2020-09-23,14.3953
2020-09-24,14.816
2020-09-25,15.4553
2020-09-28,16.7173
2020-09-29,16.8567
2020-09-30,16.8793
2020-10-01,17.9273
2020-10-02,16.3293
2020-10-05,17.9233
2020-10-06,17.6173
2020-10-07,18.68
2020-10-08,19.3287
2020-10-09,20.3427
2020-10-12,21.226
2020-10-13,21.2007
2020-10-14,20.8647
2020-10-15,20.7
2020-10-16,20.4047
2020-10-19,20.076
2020-10-20,20.012
2020-10-21,19.5893
2020-10-22,19.658
2020-10-23,19.37
2020-10-26,18.1327
2020-10-27,17.9453
2020-10-28,16.1593
2020-10-29,17.446
2020-10-30,16.5967
2020-11-02,16.864
2020-11-03,17.8673
2020-11-04,19.74
2020-11-05,22.3433
2020-11-06,23.4927
2020-11-09,22.5953
2020-11-10,20.5633
2020-11-11,22.804
2020-11-12,21.9213
2020-11-13,22.7347
2020-11-16,24.4113
2020-11-17,23.8167
2020-11-18,23.3113
2020-11-19,24.3933
2020-11-20,23.9973
2020-11-23,25.0833
2020-11-24,25.4887
2020-11-25,25.216
2020-11-27,26.084
2020-11-30,27.0647
2020-12-01,28.5007
2020-12-02,28.7173
2020-12-03,28.7607
2020-12-04,31.1547
2020-12-07,31.562
2020-12-08,31.96
2020-12-09,29.2267
2020-12-10,29.17
2020-12-11,28.1633
2020-12-14,29.224
2020-12-15,30.4427
2020-12-16,30.3753
2020-12-17,30.538
2020-12-18,30.1393
2020-12-21,29.546
2020-12-22,29.4333
2020-12-23,28.822
2020-12-24,29.654
2020-12-28,29.4853
2020-12-29,29.2587
2020-12-30,30.7713
2020-12-31,31.0987
2021-01-04,30.6693
2021-01-05,32.446
2021-01-06,32.2073
2021-01-07,35.7567
2021-01-08,35.7867
2021-01-11,37.09
2021-01-12,37.8187
2021-01-13,37.9193
2021-01-14,40.3867
2021-01-15,37.824
2021-01-19,41.6667
2021-01-20,41.3193
2021-01-21,43.1587
2021-01-22,40.79
2021-01-25,40.9653
2021-01-26,39.0553
2021-01-27,33.144
2021-01-28,35.134
2021-01-29,33.4007
2021-02-01,37.348
2021-02-02,39.048
2021-02-03,36.6327
2021-02-04,37.538
2021-02-05,36.7227
2021-02-08,40.1333
2021-02-09,39.622
2021-02-10,39.9967
2021-02-11,44.1647
2021-02-12,45.772
2021-02-16,46.582
2021-02-17,44.0107
2021-02-18,42.6853
2021-02-19,45.7987
2021-02-22,40.8067
2021-02-23,39.9787
2021-02-24,43.7453
2021-02-25,36.2187
2021-02-26,38.7107
2021-03-01,42.558
2021-03-02,38.55
2021-03-03,35.01
2021-03-04,29.98
2021-03-05,32.75
2021-03-08,27.52
2021-03-09,32.45
2021-03-10,30.72
2021-03-11,34.47
2021-03-12,33.42
2021-03-15,35.57
2021-03-16,36.98
2021-03-17,38.42
2021-03-18,33.71
2021-03-19,34.75
2021-03-22,37.0
2021-03-23,34.03
2021-03-24,32.59
2021-03-25,32.81
2021-03-26,37.69
2021-03-29,35.79
2021-03-30,35.52
2021-03-31,38.21
2021-04-01,42.41
2021-04-05,45.0
2021-04-06,43.38
2021-04-07,43.38
2021-04-08,44.79
2021-04-09,44.48
2021-04-12,43.09
2021-04-13,42.69
2021-04-14,41.27
2021-04-15,43.47
2021-04-16,42.75
2021-04-19,39.6
2021-04-20,37.71
2021-04-21,40.75
2021-04-22,37.98
2021-04-23,40.15
2021-04-26,42.21
2021-04-27,41.34
2021-04-28,39.42
2021-04-29,40.31
2021-04-30,36.9
2021-05-03,35.61
2021-05-04,33.97
2021-05-05,34.55
2021-05-06,35.4
2021-05-07,36.93
2021-05-10,31.93
2021-05-11,32.11
2021-05-12,28.13
2021-05-13,29.33
2021-05-14,31.93
2021-05-17,31.1
2021-05-18,30.29
2021-05-19,32.05
2021-05-20,34.64
2021-05-21,34.14
2021-05-24,36.53
2021-05-25,36.94
2021-05-26,37.18
2021-05-27,37.86
2021-05-28,38.78
2021-06-01,38.34
2021-06-02,39.19
2021-06-03,37.12
2021-06-04,39.74
2021-06-07,38.91
2021-06-08,38.17
2021-06-09,37.7
2021-06-10,39.04
2021-06-11,39.49
2021-06-14,41.17
2021-06-15,40.04
2021-06-16,39.18
2021-06-17,40.31
2021-06-18,37.32
2021-06-21,38.12
2021-06-22,38.6
2021-06-23,39.05
2021-06-24,41.08
2021-06-25,40.66
2021-06-28,43.65
2021-06-29,44.64
2021-06-30,44.54
2021-07-01,42.57
2021-07-02,43.32
2021-07-06,43.04
2021-07-07,41.24
2021-07-08,39.78
2021-07-09,41.77
2021-07-12,43.33
2021-07-13,42.62
2021-07-14,42.16
2021-07-15,39.42
2021-07-16,36.76
2021-07-19,36.84
2021-07-20,38.34
2021-07-21,41.85
2021-07-22,40.74
2021-07-23,41.55
2021-07-26,41.45
2021-07-27,39.15
2021-07-28,41.18
2021-07-29,43.45
2021-07-30,44.39
2021-08-02,45.21
2021-08-03,45.97
2021-08-04,47.61
2021-08-05,47.17
2021-08-06,46.63
2021-08-09,46.15
2021-08-10,44.45
2021-08-11,44.17
2021-08-12,42.62
2021-08-13,43.48
2021-08-16,43.01
2021-08-17,40.46
2021-08-18,38.66
2021-08-19,39.63
2021-08-20,40.43
2021-08-23,43.69
2021-08-24,43.73
2021-08-25,44.78
2021-08-26,44.68
2021-08-27,47.3
2021-08-30,47.74
2021-08-31,46.55
2021-09-01,45.96
2021-09-02,46.3
2021-09-03,47.24
2021-09-07,46.77
2021-09-08,44.95
2021-09-09,45.55
2021-09-10,46.59
2021-09-13,47.87
2021-09-14,47.87
2021-09-15,48.59
2021-09-16,49.07
2021-09-17,46.75
2021-09-20,43.3
2021-09-21,43.6
2021-09-22,46.26
2021-09-23,48.1
2021-09-24,47.95
2021-09-27,47.69
2021-09-28,42.23
2021-09-29,40.12
2021-09-30,40.04
2021-10-01,40.07
2021-10-04,37.02
2021-10-05,38.65
2021-10-06,39.06
2021-10-07,40.39
2021-10-08,39.33
2021-10-11,38.38
2021-10-12,37.05
2021-10-13,37.65
2021-10-14,41.05
2021-10-15,41.84
2021-10-18,42.86
2021-10-19,44.43
2021-10-20,44.2
2021-10-21,45.59
